company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
CUI Global Inc,Oregon,CUGI,Nasdaq,1.6,7.3,32.0,2011-10-31,19.0,4.5,9.999999,Energy,0
Bazaarvoice Inc,Texas,,Nasdaq,0.0,0.0,46.8,2011-08-26,9.656,12.0,113.811552,IT,0
ExactTarget Inc,Indiana,ET,New York,-8.0,0.0,193.3,2011-09-12,8.796,19.0,161.5,IT,0
Vantiv Inc,Ohio,VNTV,New York,373.3,1213.4,3485.4,2011-07-12,6.384,17.0,500.004,Consulting,0
CafePress Inc,California,PRSS,Nasdaq,13.7,2.6,86.9,2011-06-10,10.275,19.0,85.5,Retail,0
Millennial Media Inc,Maryland,MM,New York,0.0,0.0,61.9,2010-07-28,75.433,13.0,132.6,IT,0
Rexnord Corp,Wisconsin,RXN,New York,0.0,2413.4,3207.4,2011-05-26,5.568,18.0,426.315798,Machinery,0
Forum Energy Technologies Inc,Texas,FET,New York,0.0,349.9,1667.2,2011-08-31,6.847,20.0,378.94732,Oil,0
MRC Global Inc,Texas,MRC,New York,321.0,1355.1,3478.5,2012-01-12,6.541,21.0,477.272733,Machinery,0
Oaktree Capital Group LLC,California,OAK,New York,257.9,830.4,45425.0,2011-06-17,19.599,43.0,380.249989,Finance,0
Digital Cinema Destinations Corp,New Jersey,DCIN,Nasdaq,0.0,0.0,4.7,2011-12-20,13.083,6.1,13.42,Media,0
Splunk Inc,California,,Nasdaq,0.0,0.0,82.2,2012-01-12,7.881,17.0,229.5,IT,0
Midstates Petroleum Co Inc,Texas,MPO,New York,0.0,151.7,688.6,2011-11-14,6.444,13.0,312.0,Oil,0
Proofpoint Inc,California,PFPT,Nasdaq,0.0,3.1,64.7,2011-05-05,8.4,13.0,82.282473,IT,0
EverBank Financial Corp,Florida,EVER,New York,0.0,2607.4,13631.6,2010-10-08,10.096,10.0,192.2,Finance,0
WageWorks Inc,California,WAGE,New York,28.3,0.0,369.1,2011-04-25,14.114,9.0,58.5,Consulting,0
Ignite Restaurant Group Inc,Texas,IRG,Nasdaq,38.5,74.5,192.4,2011-07-29,8.917,14.0,80.769234,Restaurant,0
Facebook Inc,California,FB,Nasdaq,0.0,394.0,6859.0,2010-07-30,1.146,38.0,16006.87737,IT,0
Chuy's Holdings Inc,Texas,CHUY,Nasdaq,16.7,4.2,120.9,2011-08-05,9.424,13.0,75.833329,Restaurant,0
Del Frisco's Restaurant Group LLC,Texas,DFRG,Nasdaq,35.8,0.0,236.8,2012-01-24,11.319,13.0,75.4,Restaurant,0
Eloqua Inc,Virginia,ELOQ,Nasdaq,0.0,0.0,34.0,2011-08-24,8.828,11.5,92.0,IT,0
Hi-Crush Partners LP,Texas,HCLP,New York,33.3,0.9,142.9,2012-07-06,7.018,17.0,191.25,Mining,0
Capital Bank Financial Corp,North Carolina,CBF,Nasdaq,45.8,140.8,6163.2,2011-06-23,8.643,18.0,180.0,Finance,0
Spirit Realty Capital Inc,Arizona,SRC,New York,226.3,1904.9,3224.7,2011-11-10,8.086,15.0,435.0,Finance,0
Qualys Inc,California,QLYS,Nasdaq,6.0,1.1,74.0,2012-06-08,8.957,12.0,90.9,IT,0
Berry Plastics Group Inc,Indiana,,New York,683.0,3932.0,5108.0,2012-03-23,6.559,16.0,470.588224,Chemical,0
Lehigh Gas Partners LP,Pennsylvania,LGP,New York,44.5,257.5,300.7,2012-05-11,10.0,20.0,120.0,Oil,0
Xplore Technologies Corp,Texas,XPLR,Nasdaq,3.4,0.0,11.6,2012-07-26,19.948,5.0,10.0,Energy,0
Ruckus Wireless Inc,California,RKUS,New York,20.6,0.0,123.1,2012-05-01,9.579,15.0,126.0,IT,0
Northwest Biotherapeutics Inc,Maryland,NWBO,Nasdaq,-37.5,1.9,0.4,2012-06-29,12.0,4.0,12.0,Chemical,0
United Insurance Holdings Corp,Florida,UIHC,Nasdaq,20.7,14.7,336.9,2012-10-23,6.139,5.15,27.29538625,Finance,0
Zoetis Inc,New Jersey,ZTS,New York,941.0,3640.0,6046.0,2012-02-20,3.651,26.0,2238.6,Chemical,0
Boise Cascade Co,Idaho,BBC,New York,100.8,250.0,836.4,2012-11-15,6.574,21.0,247.058826,Timber,0
ConnectOne Bancorp Inc,New Jersey,CNOB,Nasdaq,17.0,77.6,925.6,2013-01-11,6.332,28.0,44.8,Finance,0
TherapeuticsMD Inc,Florida,TXMD,NYSE MKT,-33.2,0.0,5.8,2013-03-07,8.252,1.7,50.0000005,Chemical,0
West Corp,Nebraska,WSTC,Nasdaq,655.1,3587.4,3448.2,2009-10-02,6.573,20.0,425.5,Consulting,0
Pinnacle Foods Inc,New Jersey,PF,New York,381.6,2585.8,4400.0,2012-02-27,5.817,20.0,580.0,Food,0
"Independent Bank Group Inc, McKinney,Texas",Texas,IBTX,Nasdaq,29.0,199.2,1764.1,2013-02-27,7.929,26.0,83.2,Finance,0
ING US Inc,New York,VOYA,New York,0.0,3265.7,220850.0,2010-11-15,4.048,19.5,1271.249987,Finance,0
Cyan Inc,California,CYNI,New York,-19.7,4.2,63.1,2012-11-20,9.937,11.0,88.0,IT,0
BioAmber Inc,Minnesota,BIOA,New York,0.0,0.3,49.3,2011-11-10,10.125,10.0,80.0,Chemical,0
Customers Bancorp Inc,Pennsylvania,CUUU,Nasdaq,45.4,507.0,3458.6,2013-05-09,4.903,16.75,89.9999945,Finance,0
Marketo Inc,California,MKTO,Nasdaq,0.0,5.3,75.9,2013-01-25,10.061,13.0,78.773617,IT,0
Tableau Software Inc,Washington,DATA,New York,0.0,0.0,89.4,2012-04-22,7.883,31.0,254.2,IT,0
ChannelAdvisor Corp,North Carolina,ECOM,New York,-2.0,9.7,48.7,2012-09-28,10.3,14.0,80.5,IT,0
Global Brass & Copper Holdings Inc,Illinois,BRSS,New York,73.4,431.0,575.3,2011-10-28,11.299,11.0,77.0,Metal,0
RCS Capital Corp,New York,RCAP,New York,36.4,0.0,61.6,2013-02-22,11.0,20.0,50.0,Finance,0
Textura Corp,Illinois,TXTR,New York,-12.5,10.7,64.5,2013-03-18,8.754,15.0,75.0,IT,0
Gigamon Inc,California,GIMO,New York,0.0,0.0,49.5,2012-07-13,8.745,19.0,128.25,IT,0
PTC Therapeutics Inc,New Jersey,,Nasdaq,-24.7,0.0,59.9,2013-05-16,7.905,15.0,125.58,Chemical,0
Truett-Hurst Inc,California,THST,Nasdaq,0.0,3.5,21.2,2013-03-11,13.63,6.0,16.2,Food,0
Gogo Inc,Illinois,GOGO,Nasdaq,17.6,239.0,419.2,2011-12-23,11.186,17.0,187.0,Communications,0
Tremor Video Inc,New York,TRMR,New York,-6.9,0.9,120.5,2013-05-23,10.755,10.0,75.0,Media,0
UCP Inc,California,UCP,New York,0.0,44.9,153.7,2013-04-04,9.14,15.0,116.25,Services,0
Physicians Realty Trust,Wisconsin,DOC,New York,6.1,66.3,106.3,2013-05-24,7.565,11.5,119.999993,Finance,0
Agios Pharmaceuticals Inc,Massachusetts,AGIO,Nasdaq,-25.8,0.0,108.5,2013-06-10,7.974,18.0,105.999984,Chemical,0
Cellular Dynamics International Inc,Wisconsin,ICEL,Nasdaq,0.0,11.8,52.6,2013-06-03,11.661,12.0,46.152,Chemical,0
WCI Communities Inc,Florida,WCIC,New York,37.2,200.0,367.4,2013-04-26,10.689,15.0,102.286365,Services,0
Athlon Energy Inc,Texas,ATHL,New York,145.4,500.0,1024.2,2013-04-30,6.166,20.0,315.78948,Oil,0
Intrexon Corp,Maryland,XON,New York,-93.2,2.3,283.5,2013-07-09,7.609,16.0,159.999984,Agriculture,0
Axogen Inc,Florida,AXGN,Nasdaq,-8.5,24.3,15.7,2013-05-14,9.81,3.0,18.0,Agriculture,0
Cvent Inc,Virginia,CVT,New York,0.0,0.0,90.4,2012-11-06,8.712,21.0,117.6,IT,0
QEP Midstream Partners LP,Colorado,QEPM,New York,106.4,0.0,706.1,2013-01-07,5.839,21.0,420.0,Oil,0
Envision Healthcare Holdings Inc,Colorado,EVHC,New York,408.6,2225.4,4040.2,2013-06-13,5.251,23.0,966.0,Health,0
Regado Biosciences Inc,New Jersey,RGDO,Nasdaq,-13.1,3.9,25.8,2013-04-29,11.267,4.0,43.0,Chemical,0
Benefitfocus Inc,South Carolina,BNFT,Nasdaq,-11.9,15.3,54.8,2013-03-20,8.296,26.5,130.7775,IT,0
Rocket Fuel Inc,California,FUEL,Nasdaq,-14.2,10.6,99.8,2013-02-13,9.731,29.0,116.0,Media,0
Applied Optoelectronics Inc,Texas,AAOI,Nasdaq,2.7,14.6,72.0,2013-08-13,12.609,10.0,36.0,Machinery,0
Covisint Corp,Michigan,COVS,Nasdaq,0.0,0.0,96.0,2012-06-10,10.125,10.0,64.0,IT,0
Violin Memory Inc,California,VMEM,New York,-110.3,0.0,112.9,2012-02-22,9.438,9.0,162.0,IT,0
QTS Realty Trust Inc,Kansas,QTS,New York,63.7,344.8,781.9,2013-08-16,7.328,21.0,257.25,Finance,0
Antero Resources Corp,Colorado,AR,New York,741.9,2079.0,5672.2,2013-05-06,4.19,44.0,1571.9,Oil,0
MacroGenics Inc,Maryland,MGNX,Nasdaq,0.0,8.0,42.0,2013-09-04,8.043,16.0,80.0,Chemical,0
InterCloud Systems Inc,New Jersey,ICLD,Nasdaq,3.8,15.2,58.5,2012-12-05,44.348,4.0,5.0,Consulting,0
Twitter Inc,California,TWTR,New York,0.0,110.5,992.8,2011-03-03,2.26,26.0,1820.0,IT,0
Chegg Inc,California,CHGG,New York,0.0,0.0,229.3,2013-06-12,9.027,12.5,187.5,IT,0
Ideal Power Inc,Texas,IPWR,Nasdaq,-3.9,0.0,2.8,2013-08-06,11.887,5.0,15.0,Energy,0
Fidelity & Guaranty Life,Maryland,FGL,New York,707.3,300.0,22202.8,2013-08-29,8.781,17.0,165.75,Finance,0
Retrophin Inc,California,RTRX,Nasdaq,-33.5,0.0,20.5,2013-12-18,8.571,8.5,39.999997,Chemical,0
EP Energy Corp,Texas,EPE,New York,1038.0,4020.0,8366.0,2013-06-24,5.636,20.0,704.0,Oil,0
Santander Consumer USA Holdings Inc,Texas,SC,New York,1703.9,25357.3,26204.9,2012-11-22,3.816,24.0,1799.79528,Finance,0
SMTP Inc,Massachusetts,SMTP,Nasdaq,2.0,0.0,2.4,2013-12-26,6.959,6.25,10.0,Media,0
Everyday Health Inc,New York,EVDY,New York,12.0,70.8,192.3,2014-02-24,9.573,14.0,100.1,Consulting,0
CBS Outdoor Americas Inc,New York,CBSO,New York,433.4,1598.0,3355.5,2013-06-27,4.869,28.0,560.0,Media,0
The Rubicon Project Inc,California,RUBI,New York,0.0,0.0,127.7,2013-01-30,8.979,15.0,101.564925,IT,0
GrubHub Inc,Illinois,GRUB,New York,40.5,0.0,795.7,2012-11-09,7.912,26.0,192.545964,IT,0
La Quinta Holdings Inc,Texas,LQ,New York,339.5,1988.7,3172.0,2014-02-10,6.245,17.0,650.25,Services,0
Ally Financial Inc,Michigan,ALLY,New York,5396.0,60915.0,146534.0,2010-08-03,1.027,25.0,2375.0,Finance,0
Sysorex Global Holdings Corp,California,SYRX,Nasdaq,-2.2,0.2,42.3,2013-10-09,8.0,6.0,19.999998,IT,0
Paycom Software Inc,Oklahoma,PAYC,New York,14.6,26.5,532.2,2014-03-10,10.942,15.0,99.675,IT,0
Moelis & Co,New York,MC,New York,0.0,0.0,349.1,2013-10-22,13.421,25.0,162.5,Finance,0
WL Ross Holding Corp,New York,WLRHU,Nasdaq,0.0,0.0,0.2,2014-05-09,4.578,10.0,435.0,Finance,0
SAGE Therapeutics Inc,Massachusetts,SAGE,Nasdaq,-22.2,0.0,51.7,2014-06-17,8.251,18.0,90.0,Chemical,0
Intersect ENT Inc,California,XENT,Nasdaq,0.0,0.0,14.5,2014-06-23,10.83,11.0,55.0,Health,0
Spark Energy Inc,Texas,SPKE,Nasdaq,39.3,0.0,86.5,2014-05-29,13.481,18.0,54.0,Energy,0
HealthEquity Inc,Utah,HQY,Nasdaq,11.8,0.0,55.9,2014-06-10,8.928,14.0,127.4,Finance,0
FCB Financial Holdings Inc,Florida,,New York,43.5,1159.1,5606.3,2014-06-20,8.535,22.0,165.44,Finance,0
T2 Biosystems Inc,Massachusetts,TTOO,Nasdaq,-24.3,10.7,20.1,2014-07-02,9.918,11.0,57.2,Health,0
Ryerson Holding Corp,Illinois,RYI,New York,0.0,1198.1,1907.9,2010-01-22,8.479,11.0,121.0,Metal,0
Sajan Inc,Wisconsin,SAJA,Nasdaq,0.7,0.8,9.6,2014-05-08,22.429,5.0,3.5,Consulting,0
Tokai Pharmaceuticals Inc,Massachusetts,TKAI,Nasdaq,-19.6,0.0,23.4,2014-08-11,9.054,15.0,97.2,Chemical,0
GWG Holdings Inc,Minnesota,GWGH,Nasdaq,0.0,274.0,296.6,2014-04-25,12.75,12.5,10.0,Finance,0
Citizens Financial Group Inc,Rhode Island,CFG,New York,1355.0,2062.0,130279.0,2013-02-23,2.009,21.5,3010.0,Finance,0
Medley Management Inc,New York,MDLY,New York,66.0,102.9,626.4,2014-08-18,10.058,18.0,108.0,Finance,0
Calithera Biosciences Inc,California,CALA,Nasdaq,-18.6,0.0,39.6,2014-08-25,10.375,10.0,80.0,Chemical,0
Proteon Therapeutics Inc,Massachusetts,PRTO,Nasdaq,-8.2,0.0,27.1,2014-09-16,10.71,10.0,61.1,Agriculture,0
Sientra Inc,California,SIEN,Nasdaq,-3.7,21.7,62.3,2014-09-19,9.565,15.0,75.0,Health,0
Upland Software Inc,Texas,UPLD,Nasdaq,-11.7,12.4,95.0,2014-09-04,14.183,12.0,46.153848,IT,0
Coherus Biosciences Inc,California,CHRS,Nasdaq,-65.0,0.0,129.2,2014-09-25,10.724,13.5,85.00005,Agriculture,0
The Joint Corp,Arizona,JYNT,Nasdaq,-0.5,0.0,8.5,2014-09-19,9.366,6.5,19.5,Finance,0
FibroGen Inc,California,FGEN,Nasdaq,-20.4,113.3,344.4,2014-09-30,8.358,18.0,145.8,Chemical,0
Neff Corp,Florida,NEFF,New York,131.7,721.9,606.7,2014-09-03,7.045,15.0,157.14285,Machinery,0
Peak Resorts Inc,Missouri,SKIS,Nasdaq,26.1,100.1,216.5,2014-10-20,8.525,9.0,90.0,Services,0
LendingClub Corp,California,LC,New York,303.2,2813.6,2814.8,2012-12-13,5.608,15.0,870.0,Finance,0
Connecture Inc,Wisconsin,CNXR,Nasdaq,-3.9,48.6,87.5,2014-10-20,14.564,8.0,53.08,IT,0
PlasmaTech Biopharmaceuticals Inc,Texas,ACCP,Nasdaq,0.0,0.0,0.3,2014-07-02,10.279,4.0,14.0,Chemical,0
Avinger Inc,California,AVGR,Nasdaq,-24.5,25.8,24.8,2014-12-30,12.492,13.0,65.0,Health,0
GoDaddy Inc,Arizona,GDDY,New York,107.9,1044.3,3329.4,2014-03-14,8.077,20.0,460.0,IT,0
Virtu Financial Inc,New York,VIRT,Nasdaq,336.2,1369.5,4099.5,2013-12-18,9.815,19.0,314.113168,Finance,0
Jaguar Animal Health Inc,California,JAGX,Nasdaq,0.0,0.0,6.2,2014-08-27,23.484,7.0,20.02,Chemical,0
Univar Inc,Illinois,UNVR,New York,474.8,3006.2,5905.1,2014-04-01,5.895,22.0,770.0,Chemical,0
Lantheus Holdings Inc,Massachusetts,LNTH,Nasdaq,64.2,350.9,250.3,2014-06-24,12.577,6.0,65.000004,Energy,0
Xactly Corp,California,XTLY,New York,0.0,21.5,54.5,2015-05-19,12.046,8.0,56.3,IT,0
Performance Food Group Co,Virginia,PFGC,New York,302.9,1245.4,3404.7,2014-09-09,6.582,19.0,275.5,Retail,0
TPI Composites Inc,Arizona,TPIC,Nasdaq,57.4,83.8,352.6,2016-06-17,4.87,11.0,68.75,Machinery,0
J Jill Inc,New Hampshire,JILL,New York,96.3,264.2,567.6,2016-04-08,10.261,13.0,151.666671,Retail,0
Catasys Inc,California,CATS,Nasdaq,-27.4,0.0,2.9,2017-02-10,10.667,4.8,15.0,Health,0
Bluegreen Vacations Corp,Florida,BXG,New York,197.2,571.8,1172.3,2017-10-23,7.446,14.0,90.981072,Finance,0
Saul Centers Inc,Maryland,BFS,New York,153.6,941.2,1422.5,2018-01-16,3.817,25.0,75.0,Finance,0
Mesa Air Group Inc,Arizona,MESA,Nasdaq,0.0,760.2,1389.6,2018-06-15,8.683,12.0,115.56,Transport,0
Informatica LLC,California,,New York,462.3,1837.4,4770.6,2021-10-01,5.817,29.0,841.0,IT,0
Kilroy Realty Corp,California,KRC,New York,27.9,270.4,128.3,1996-11-05,7.591,23.0,287.5,Finance,0
Midwest Banc Holdings Inc,Illinois,MBHI,Nasdaq,18.4,67.2,906.8,1997-12-19,9.108,15.0,16.5,Finance,0
GoDaddy Inc,Arizona,GDDY,New York,107.9,1044.3,3329.4,2014-03-14,8.077,20.0,460.0,IT,0
Virtu Financial Inc,New York,VIRT,Nasdaq,336.2,1369.5,4099.5,2013-12-18,9.815,19.0,314.113168,Finance,0
Jaguar Animal Health Inc,California,JAGX,Nasdaq,0.0,0.0,6.2,2014-08-27,23.484,7.0,20.02,Chemical,0
Moelis & Co,New York,MC,New York,0.0,0.0,349.1,2013-10-22,13.421,25.0,162.5,Finance,0
WL Ross Holding Corp,New York,WLRHU,Nasdaq,0.0,0.0,0.2,2014-05-09,4.578,10.0,435.0,Finance,0
SAGE Therapeutics Inc,Massachusetts,SAGE,Nasdaq,-22.2,0.0,51.7,2014-06-17,8.251,18.0,90.0,Chemical,0
Senestech Inc.,Arizona,SNES,Nasdaq,-31.2,0.7,2173.5,2016-12-08,11.22,8.0,15.0,Chemical,1
Regional Management Corp,South Carolina,RM,New York,0.0,21.5,29414.1,2012-03-28,7.25,15.0,63.0,Finance,1
Hca Healthcare Inc.,Tennessee,HCA,New York,325.9,7.1,333.0,2011-03-10,10.88,30.0,3786.0,Health,1
Aspen Aerogels Inc.,Massachusetts,ASPN,New York,0.0,204.0,204.0,2014-06-13,10.33,11.0,82.5,Chemical,1
Natural Grocers By Vitamin Cottage Inc.,Colorado,NGVC,New York,6.4,0.0,179.9,2012-07-25,10.26,15.0,107.143,Food,1
Daqo New Energy Corp,Georgia,DQ,New York,-8.9,61.7,70.6,2010-10-07,16.01,9.5,76.0,IT,1
Jounce Therapeutics Inc.,Massachusetts,JNCE,Nasdaq,0.0,2018.6,2018.6,2017-01-27,7.35,16.0,101.84,Health,1
Neophotonics Corp,California,NPTN,New York,0.0,0.2,170.9,2011-02-02,3.0,11.0,82.5,IT,1
Second Sight Medical Products Inc.,California,EYES,Nasdaq,0.0,510.6,510.6,2014-11-19,2.85,9.0,31.5,Health,1
Novocure Ltd,Arkansas,NVCR,Nasdaq,-11.0,0.0,36.8,2015-10-02,10.24,22.0,165.0,Agriculture,1
National Bank Holdings Corp,Colorado,NBHC,New York,0.0,621.6,621.6,2012-09-20,13.87,19.25,137.638,Finance,1
Voxeljet Ag,New Jersey,VJET,New York,0.0,0.0,54.9,2013-10-18,11.72,13.0,84.5,IT,1
Fifth Street Asset Management Inc.,Connecticut,FSAM,Nasdaq,0.0,0.0,23445.3,2014-10-30,7.65,17.0,102.0,Finance,1
Ranger Energy Services Inc.,Texas,RNGR,New York,116.0,44.1,160.1,2017-08-11,11.05,14.5,85.0,Oil,1
Selecta Biosciences Inc.,Massachusetts,SELB,Nasdaq,0.0,11.4,168.3,2016-06-22,14.51,14.0,70.0,Health,1
Celcuity Inc.,Minnesota,CELC,Nasdaq,0.0,3.5,5.9,2017-09-20,9.92,9.5,22.8,Health,1
Taylor Morrison Home Corp,Arizona,TMHC,New York,0.0,0.2,734.9,2013-04-10,1.14,22.0,628.584,Retail,1
Nanthealth Inc.,California,NH,Nasdaq,0.0,0.0,94.5,2016-06-02,9.15,14.0,91.0,IT,1
First Interstate Bancsystem Inc.,Montana,FIBK,Nasdaq,5.3,104.1,9254.6,2010-03-24,8.17,14.5,145.0,Finance,1
Forterra Inc.,Texas,FRTA,Nasdaq,204.0,0.0,204.0,2016-10-20,13.97,18.0,331.56,Chemical,1
Golar Lng Partners Lp,Hawaii,GMLP,Nasdaq,0.0,0.0,219.3,2011-04-08,6.87,22.5,270.0,Machinery,1
Leju Holdings Ltd,Oregon,LEJU,New York,0.0,49668.3,49668.3,2014-04-17,14.5,10.0,100.0,Finance,1
Acelrx Pharmaceuticals Inc.,California,ACRX,Nasdaq,0.0,0.0,55.9,2011-02-11,11.09,5.0,40.0,Health,1
Atento SA,Pennsylvania,ATTO,New York,6.5,1.4,151.7,2014-10-02,7.23,15.0,150.0,Machinery,1
Apellis Pharmaceuticals Inc.,Kentucky,APLS,Nasdaq,0.0,0.0,47.7,2017-11-09,9.22,14.0,149.996,Health,1
Biondvax Pharmaceuticals Ltd,Idaho,BVXV,Nasdaq,0.0,24.8,24.8,2015-05-12,8.1,5.0,9.55,Health,1
Cpi Card Group Inc.,Colorado,PMTS,Nasdaq,0.0,1367.2,1367.2,2015-10-09,9.32,10.0,150.0,Machinery,1
Nxp Semiconductors NV,Texas,NXPI,Nasdaq,31.4,57.1,143.8,2010-08-06,6.56,14.0,476.0,IT,1
Sabre Corp,Texas,SABR,Nasdaq,0.0,0.0,24.6,2014-04-17,16.19,16.0,627.2,IT,1
Conatus Pharmaceuticals Inc.,California,CNAT,Nasdaq,0.0,0.0,53.6,2013-07-25,9.73,11.0,66.0,Health,1
Gridsum Holding Inc.,Iowa,GSUM,Nasdaq,12.1,0.0,12.1,2016-09-23,8.41,13.0,87.1,IT,1
Renren Inc.,South Carolina,RENN,New York,323.3,3.3,326.6,2011-05-04,7.78,14.0,743.4,Retail,1
Sensata Technologies Holding Plc,Maine,ST,New York,0.0,0.0,92.1,2010-03-11,9.97,18.0,568.8,IT,1
Xencor Inc.,California,XNCR,Nasdaq,-1.2,478.7,926.7,2013-12-03,6.87,5.5,70.015,Health,1
Wingstop Inc.,Texas,WING,Nasdaq,0.0,0.2,338.4,2015-06-12,2.04,19.0,110.2,Retail,1
Globant SA,Indiana,GLOB,New York,0.0,0.0,176.0,2014-07-18,2.11,10.0,58.5,IT,1
WixCom Ltd,Maryland,WIX,Nasdaq,136.7,1.7,138.4,2013-11-06,15.95,16.5,127.05,IT,1
Intelsat SA,Iowa,I,New York,51.8,16.2,1014.0,2013-04-18,9.32,18.0,347.826,Communications,1
Nordic American Offshore Ltd,New York,NAO,New York,0.0,4.8,10.6,2014-06-12,10.6,16.0,94.118,Machinery,1
Argenx Se,Nebraska,ARGX,Nasdaq,0.0,18.7,3785.6,2017-05-18,8.44,17.0,99.705,Health,1
Ambarella Inc.,California,AMBA,Nasdaq,453.4,24.3,477.7,2012-10-10,8.69,6.0,36.0,IT,1
Applied Genetic Technologies Corp,Florida,AGTC,Nasdaq,0.0,1384.4,1384.4,2014-03-27,11.73,12.0,50.0,Health,1
Chimerix Inc.,North Carolina,CMRX,Nasdaq,-4.9,0.8,62.8,2013-04-11,7.87,14.0,102.48,Health,1
Aratana Therapeutics Inc.,Kansas,PETX,Nasdaq,0.0,0.0,8.0,2013-06-27,11.48,6.0,34.5,Health,1
Burlington Stores Inc.,New Jersey,BURL,New York,0.0,10.8,302.6,2013-10-02,9.3,17.0,226.667,Food,1
Nanostring Technologies Inc.,Washington,NSTG,Nasdaq,0.0,0.0,94.2,2013-06-26,11.67,10.0,54.0,Health,1
Heat Biologics Inc.,North Carolina,HTBX,Nasdaq,-23.5,878.5,902.0,2013-07-24,15.22,10.0,25.0,Health,1
Eagle Pharmaceuticals Inc.,New Jersey,EGRX,Nasdaq,-19.7,0.0,19.7,2014-02-12,10.63,15.0,50.25,Health,1
Optinose Inc.,Pennsylvania,OPTN,Nasdaq,1.6,39.9,41.5,2017-10-13,10.37,16.0,120.0,Health,1
Summit Therapeutics Plc,South Carolina,SMMT,Nasdaq,-1.4,0.0,18.4,2015-03-05,12.71,9.9,34.155,Health,1
Senseonics Holdings Inc.,Maryland,SENS,American,0.0,0.0,1360.3,2016-03-18,8.65,2.85,45.03,Health,1
Nutanix Inc.,California,NTNX,Nasdaq,36.8,0.0,83.4,2016-09-30,11.75,16.0,237.92,IT,1
People'S Utah Bancorp,Utah,PUB,Nasdaq,0.0,0.0,470.6,2015-06-11,4.57,14.5,36.25,Finance,1
A10 Networks Inc.,California,ATEN,New York,0.0,0.2,54.3,2014-03-21,8.94,15.0,187.5,IT,1
Natera Inc.,California,NTRA,Nasdaq,6.1,225.2,231.2,2015-07-02,16.22,18.0,180.0,Health,1
Everbridge Inc.,Massachusetts,EVBG,Nasdaq,0.0,1.9,3199.3,2016-09-16,11.58,12.0,90.0,IT,1
Glycomimetics Inc.,Maryland,GLYC,Nasdaq,-6.6,0.0,11.0,2014-01-10,8.12,8.0,56.0,Health,1
Planet Fitness Inc.,New Hampshire,PLNT,New York,13.4,2.1,503.0,2015-08-06,8.45,16.0,216.0,Retail,1
Gardner Denver Holdings Inc.,Wisconsin,GDI,New York,329.7,11.3,340.9,2017-05-12,14.22,20.0,826.0,IT,1
Forescout Technologies Inc.,California,FSCT,Nasdaq,0.0,0.0,13.3,2017-10-27,13.18,22.0,116.16,IT,1
Adaptimmune Therapeutics Plc,California,ADAP,Nasdaq,12.8,488.0,500.8,2015-05-06,10.84,17.0,191.25,Health,1
Triumph Bancorp Inc.,Texas,TBK,Nasdaq,0.0,265.6,1458.0,2014-11-07,12.94,12.0,80.4,Finance,1
Ritter Pharmaceuticals Inc.,California,RTTR,Nasdaq,22.8,0.0,22.8,2015-06-24,10.71,5.0,20.0,Health,1
Mobileiron Inc.,California,MOBL,Nasdaq,69.4,376.3,885.2,2014-06-12,9.19,9.0,100.0,IT,1
Supernus Pharmaceuticals Inc.,Maryland,SUPN,Nasdaq,0.0,0.0,34.8,2012-05-01,11.09,5.0,50.0,Health,1
Veeva Systems Inc.,California,VEEV,New York,0.0,1170.0,1170.0,2013-10-16,11.41,20.0,260.9,IT,1
Terraform Power Inc.,New York,TERP,Nasdaq,37.7,563.2,922.3,2014-07-18,10.03,25.0,501.625,Energy,1
Frank'S International NV,Colorado,FI,New York,51.0,68.8,119.7,2013-08-09,7.1,22.0,660.0,Oil,1
Hutchison China Meditech Ltd,Rhode Island,HCM,Nasdaq,0.0,799.8,799.8,2016-03-17,0.33,13.5,101.25,Health,1
Us Foods Holding Corp,Illinois,USFD,New York,1.8,29.8,1783.6,2016-05-26,7.98,23.0,1022.222,Food,1
Flex Pharma Inc.,Massachusetts,FLKS,Nasdaq,0.0,1.6,23.9,2015-01-29,10.24,16.0,86.4,Health,1
Blue Apron Holdings Inc.,New York,APRN,New York,35.9,39.8,3839.5,2017-06-29,12.17,10.0,300.0,Retail,1
Exone Co,Pennsylvania,XONE,Nasdaq,7.0,0.0,367.5,2013-02-07,10.22,18.0,95.4,Machinery,1
Viking Therapeutics Inc.,California,VKTX,Nasdaq,0.0,0.0,107.8,2015-04-29,5.5,8.0,24.0,Health,1
Castlight Health Inc.,California,CSLT,New York,3.4,0.0,36.2,2014-03-14,2.04,16.0,177.6,IT,1
Pulse Biosciences Inc.,California,PLSE,Nasdaq,6.6,1473.5,1480.1,2016-05-18,9.68,4.0,20.0,Health,1
Opgen Inc.,Maryland,OPGN,Nasdaq,-32.2,0.0,469.2,2015-05-05,8.0,6.0,17.1,Health,1
Transunion,Illinois,TRU,New York,3.0,37.4,461.8,2015-06-25,8.85,22.5,664.773,Machinery,1
Targa Resources Corp,Texas,TRGP,New York,45.2,0.2,326.2,2010-12-07,9.6,22.0,360.25,Oil,1
Hd Supply Holdings Inc.,Georgia,HDS,Nasdaq,0.0,98.8,744.5,2013-06-27,8.34,18.0,957.447,Machinery,1
