company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
Evoqua Water Technologies Corp,Pennsylvania,AQUA,New York,0.0,4.1,3200.0,2017-11-02,7.5,18.0,500.0,Machinery
ExactTarget Inc,Indiana,ET,New York,0.0,0.0,193.3,2011-09-12,8.8,19.0,161.5,IT
Exone Co,Pennsylvania,XONE,Nasdaq,7.0,0.0,367.5,2013-02-07,10.2,18.0,95.4,Machinery
Express Inc.,Ohio,EXPR,New York,0.0,70.7,75.1,2010-05-13,9.2,17.0,272.0,Retail
Extra Space Storage Inc,Utah,EXR,New York,0.0,391.6,584.5,2004-05-12,8.0,12.5,252.5,Finance
Extraction Oil & Gas Inc.,Colorado,XOG,Nasdaq,0.0,208.9,208.9,2016-10-12,4.0,19.0,633.3,Oil
F5 Networks Inc,Washington,FFIV,Nasdaq,0.0,0.0,9.4,1999-04-07,9.5,10.0,30.0,IT
FBL Financial Group Inc,Iowa,FFG,New York,0.0,24.6,3090.9,1996-05-02,7.9,17.5,70.0,Finance
FBR Capital Markets Corp,Virginia,FBCM,Nasdaq,0.0,0.0,608.7,2007-04-10,7.9,17.0,204.6,Finance
FCStone Group Inc,Iowa,FCSX,Nasdaq,45.4,44.6,1529.3,2006-10-12,8.2,24.0,122.4,Consulting
FX Alliance Inc,New York,FX,New York,52.5,0.0,201.2,2011-09-19,9.4,12.0,62.4,Finance
FXCM Inc,New York,FXCM,New York,0.0,0.0,591.7,2010-09-03,3.2,14.0,210.8,Finance
Fabrinet,Rhode Island,FN,New York,0.0,1.1,50.4,2010-06-25,8.7,10.0,85.0,IT
Facebook Inc,California,FB,Nasdaq,0.0,394.0,6859.0,2010-07-30,1.1,38.0,16006.9,IT
Fairchild Semiconductor International Inc,Maine,FCS,New York,0.0,717.2,598.2,1999-05-14,6.7,18.5,370.0,Machinery
Fang Holdings Ltd,Iowa,SFUN,New York,0.0,1989.8,1989.8,2010-09-17,8.5,42.5,124.7,IT
Farmland Partners Inc.,Colorado,FPI,American,0.0,130.5,130.5,2014-04-11,6.7,14.0,53.2,Finance
Fat Brands Inc.,California,FAT,Nasdaq,13.7,112.2,334.4,2017-10-23,9.6,12.0,24.0,Retail
Fate Therapeutics Inc.,California,FATE,Nasdaq,0.0,0.0,25.8,2013-10-01,4.6,6.0,40.0,Health
Fb Financial Corp,Tennessee,FBK,New York,8.5,0.0,3311.9,2016-09-16,3.4,19.0,111.8,Finance
Federated Investors Inc,Pennsylvania,FII,New York,0.0,332.9,388.9,1998-03-20,6.3,19.0,333.6,Finance
Ferrari NV,Massachusetts,RACE,New York,314.9,49.6,364.4,2015-10-21,11.3,52.0,893.1,Retail
Fiat Chrysler Automobiles NV,Indiana,FCAU,New York,0.0,1122.0,1122.0,2014-12-12,7.9,11.0,957.0,Retail
FibroGen Inc,California,FGEN,Nasdaq,0.0,113.3,344.4,2014-09-30,8.4,18.0,145.8,Chemical
Fidelity & Guaranty Life,Maryland,FGL,New York,707.3,300.0,22202.8,2013-08-29,8.8,17.0,165.8,Finance
Fifth Street Asset Management Inc.,Connecticut,FSAM,Nasdaq,0.0,0.0,23445.3,2014-10-30,7.7,17.0,102.0,Finance
Financial Institutions Inc,New York,FISI,Nasdaq,0.0,13.4,990.5,1999-04-23,9.3,14.0,18.7,Finance
Fireeye Inc.,California,FEYE,Nasdaq,0.0,126.5,126.5,2013-09-20,8.0,20.0,303.5,IT
First Data Corp,New York,FDC,New York,0.0,137.4,295.6,2015-10-15,6.9,16.0,2560.0,Machinery
First Hawaiian Inc.,Hawaii,FHB,Nasdaq,0.0,0.0,2535.4,2016-08-04,5.9,23.0,485.0,Finance
First Interstate Bancsystem Inc.,Montana,FIBK,Nasdaq,5.3,104.1,9254.6,2010-03-24,8.2,14.5,145.0,Finance
First Mercury Financial Corp,Michigan,FMR,New York,0.0,46.4,443.1,2006-05-30,8.3,17.0,165.0,Finance
First Potomac Realty Trust,Maryland,FPO,New York,0.0,126.5,126.0,2003-07-18,8.8,15.0,112.5,Finance
"First Security Group Inc, Chattanooga,Tennessee",Tennessee,FSGI,Nasdaq,9.6,13.2,831.3,2005-06-10,8.8,10.0,45.0,Finance
First Solar Inc,Arizona,FSLR,Nasdaq,0.0,61.0,255.1,2006-06-30,7.2,20.0,400.0,Machinery
Fitbit Inc.,California,FIT,New York,0.0,0.1,18.8,2015-06-18,7.4,20.0,731.5,IT
Five Prime Therapeutics Inc.,California,FPRX,Nasdaq,60.4,0.0,60.4,2013-09-18,11.5,13.0,62.4,Health
Five9 Inc.,California,FIVN,Nasdaq,31.3,482.7,739.9,2014-04-04,12.6,7.0,70.0,IT
FleetCor Technologies Inc,Georgia,FLT,New York,175.6,313.8,1209.5,2010-04-15,7.3,23.0,291.5,Consulting
Flex Pharma Inc.,Massachusetts,FLKS,Nasdaq,0.0,1.6,23.9,2015-01-29,10.2,16.0,86.4,Health
Flexion Therapeutics Inc.,Massachusetts,FLXN,Nasdaq,0.0,390.2,3133.9,2014-02-12,10.1,13.0,65.0,Health
Fluidigm Corp,California,FLDM,Nasdaq,0.0,0.4,26.2,2011-02-10,5.7,13.5,75.0,Health
Foamix Pharmaceuticals Ltd,Kansas,FOMX,Nasdaq,0.0,0.0,3341.6,2014-09-18,14.1,6.0,40.2,Health
Forescout Technologies Inc.,California,FSCT,Nasdaq,0.0,0.0,13.3,2017-10-27,13.2,22.0,116.2,IT
Foresight Energy Lp,Missouri,FELP,New York,0.0,0.0,33.8,2014-06-18,9.1,20.0,350.0,Chemical
Forterra Inc.,Texas,FRTA,Nasdaq,204.0,0.0,204.0,2016-10-20,14.0,18.0,331.6,Chemical
Fortress Transportation & Infrastructure Investors Llc,New York,FTAI,New York,0.0,3.9,824.7,2015-05-15,3.6,17.0,340.0,Machinery
Forum Energy Technologies Inc,Texas,FET,New York,0.0,349.9,1667.2,2011-08-31,6.8,20.0,378.9,Oil
Foundation Building Materials Inc.,California,FBM,New York,0.0,109.4,1012.1,2017-02-10,6.5,14.0,179.2,Machinery
Four Seasons Education (Cayman) Inc.,Hawaii,FEDU,New York,0.0,0.0,566.4,2017-11-08,10.5,10.0,101.0,Food
Fox Factory Holding Corp,Georgia,FOXF,Nasdaq,0.0,2.2,88.0,2013-08-08,15.0,15.0,128.6,Retail
Francesca's Holdings Corp,Texas,FRAN,Nasdaq,0.0,41.0,66.7,2010-06-24,8.4,17.0,170.0,Retail
Frank'S International NV,Colorado,FI,New York,51.0,68.8,119.7,2013-08-09,7.1,22.0,660.0,Oil
Franklin Financial Network Inc.,Tennessee,FSB,New York,10.2,196.2,257.4,2015-03-26,9.6,21.0,55.4,Finance
Fresh Market Inc,North Carolina,TFM,Nasdaq,96.3,82.5,249.1,2010-05-03,1.6,22.0,289.9,Retail
Freshpet Inc.,New Jersey,FRPT,Nasdaq,12.5,183.6,453.0,2014-11-07,8.1,15.0,156.3,Food
Fs Bancorp Inc.,Washington,FSBW,Nasdaq,0.0,127.0,1788.1,2012-07-10,6.7,10.0,28.2,Finance
Fulgent Genetics Inc.,California,FLGT,Nasdaq,0.0,2107.2,2107.2,2016-09-29,14.2,9.0,37.8,Health
Fuling Global Inc.,Virginia,FORK,Nasdaq,14.0,64.8,394.2,2015-11-04,5.2,5.0,20.0,Retail
G1 Therapeutics Inc.,North Carolina,GTHX,Nasdaq,389.6,3.9,393.5,2017-05-17,8.0,15.0,105.0,Health
GWG Holdings Inc,Minnesota,GWGH,Nasdaq,0.0,274.0,296.6,2014-04-25,12.8,12.5,10.0,Finance
Gain Capital Holdings Inc.,New Jersey,GCAP,New York,0.0,152.5,567.8,2010-12-15,9.8,9.0,81.0,Finance
Galapagos Nv,Louisiana,GLPG,Nasdaq,64.8,672.7,737.5,2015-05-14,16.5,42.1,275.4,Health
Galmed Pharmaceuticals Ltd,Illinois,GLMD,Nasdaq,0.0,9.4,25.2,2014-03-13,17.5,13.5,38.3,Health
Gardner Denver Holdings Inc.,Wisconsin,GDI,New York,329.7,11.3,340.9,2017-05-12,14.2,20.0,826.0,IT
Gaslog Ltd,South Carolina,GLOG,New York,33.3,402.7,436.0,2012-03-30,11.5,14.0,329.0,Machinery
Gaslog Partners Lp,Massachusetts,GLOP,New York,31.2,477.8,509.0,2014-05-07,7.8,21.0,176.4,Oil
Gds Holdings Ltd,Rhode Island,GDS,Nasdaq,0.0,272.8,282.6,2016-11-02,11.7,10.0,192.5,IT
Gemphire Therapeutics Inc.,Michigan,GEMP,Nasdaq,0.0,0.0,62.9,2016-08-05,8.5,10.0,30.0,Health
Generac Holdings Inc.,Wisconsin,GNRC,New York,0.0,1983.8,1983.8,2010-02-11,8.1,13.0,243.8,Machinery
General Motors Co,Michigan,GM,New York,87.5,2.3,89.8,2010-11-18,14.7,33.0,15774.0,Retail
Genmark Diagnostics Inc.,California,GNMK,Nasdaq,0.0,0.0,202.3,2010-05-28,9.4,6.0,27.6,Health
Genocea Biosciences Inc.,Massachusetts,GNCA,Nasdaq,0.0,4.0,127.5,2014-02-05,0.4,12.0,66.0,Health
Geopark Ltd,Arkansas,GPRK,New York,0.0,0.4,6158.2,2014-02-07,6.5,7.0,94.5,Oil
Gevo Inc.,Colorado,GEVO,Nasdaq,0.0,3900.3,7899.2,2011-02-09,13.1,15.0,107.3,Chemical
Gigamon Inc,California,GIMO,New York,0.0,0.0,49.5,2012-07-13,8.7,19.0,128.3,IT
Glaukos Corp,California,GKOS,New York,0.0,0.0,26.8,2015-06-25,14.3,18.0,108.0,Health
Global Blood Therapeutics Inc.,California,GBT,Nasdaq,0.0,0.0,1051.7,2015-08-12,18.7,20.0,120.0,Health
Global Brass & Copper Holdings Inc,Illinois,BRSS,New York,73.4,431.0,575.3,2011-10-28,11.3,11.0,77.0,Metal
Global Cash Access Holdings Inc,Nevada,GCA,New York,99.1,0.0,248.4,2005-03-22,7.6,14.0,224.9,Finance
Global Partners LP,Massachusetts,GLP,New York,0.0,162.3,377.7,2005-05-10,9.4,22.0,107.8,Oil
Global Water Resources Inc.,Arizona,GWRS,Nasdaq,0.0,322.8,322.8,2016-04-28,12.5,6.3,7.3,Energy
Globant SA,Indiana,GLOB,New York,0.0,0.0,176.0,2014-07-18,2.1,10.0,58.5,IT
Globus Maritime Ltd,Pennsylvania,GLBS,Nasdaq,1.0,49.6,50.6,2010-11-26,9.1,11.6,71.0,Machinery
Globus Medical Inc.,Pennsylvania,GMED,New York,0.0,242.2,242.2,2012-08-03,14.3,12.0,100.0,Health
Glu Mobile Inc,California,GLUU,Nasdaq,0.0,0.0,147.3,2006-12-19,10.5,11.5,84.0,IT
Glycomimetics Inc.,Maryland,GLYC,Nasdaq,0.0,0.0,11.0,2014-01-10,8.1,8.0,56.0,Health
Gms Inc.,Georgia,GMS,New York,149.0,3291.6,3440.6,2016-05-26,9.2,21.0,147.0,Chemical
Gnc Holdings Inc.,Pennsylvania,GNC,New York,0.0,0.0,891.1,2011-04-01,12.0,16.0,360.0,Food
GoAmerica Inc,New Jersey,GOAM,Nasdaq,0.0,0.0,28.8,2000-01-18,7.9,16.0,160.0,Communications
GoDaddy Inc,Arizona,GDDY,New York,107.9,1044.3,3329.4,2014-03-14,8.1,20.0,460.0,IT
Gogo Inc,Illinois,GOGO,Nasdaq,17.6,239.0,419.2,2011-12-23,11.2,17.0,187.0,Communications
Golar Lng Partners Lp,Hawaii,GMLP,Nasdaq,0.0,0.0,219.3,2011-04-08,6.9,22.5,270.0,Machinery
Golf Trust of America Inc,South Carolina,GTA,American,11.5,4.3,86.7,1996-11-12,11.2,21.0,71.4,Finance
Google Inc,California,GOOG,Nasdaq,571.4,0.1,1328.0,2004-04-29,3.1,85.0,1666.4,IT
Gopro Inc.,California,GPRO,Nasdaq,0.0,28.6,51.3,2014-06-26,9.5,24.0,427.2,IT
Grana & Montero SAA,Nevada,GRAM,New York,0.0,262.4,262.4,2013-07-24,11.3,21.1,412.8,Machinery
Granite Point Mortgage Trust Inc.,New York,GPMT,New York,0.0,77869.2,77869.2,2017-06-23,9.6,19.5,195.0,Finance
Great Ajax Corp,Oregon,AJX,New York,3.5,3619.7,3623.2,2015-02-13,12.3,14.3,71.3,Finance
Great Western Bancorp Inc.,South Dakota,GWB,New York,31.2,92.6,123.8,2014-10-15,9.7,18.0,288.0,Finance
Green Dot Corp,California,GDOT,New York,32.1,255.6,287.7,2010-07-22,2.5,36.0,164.1,Finance
Green Plains Partners Lp,Nebraska,GPP,Nasdaq,1925.7,608.6,2534.4,2015-06-26,4.5,15.0,150.0,Oil
Greenhill & Co Inc,New York,GHL,New York,86.9,0.0,39.3,2004-03-11,11.5,17.5,87.5,Finance
Gridsum Holding Inc.,Iowa,GSUM,Nasdaq,12.1,0.0,12.1,2016-09-23,8.4,13.0,87.1,IT
Groupon Inc,Illinois,GRPN,Nasdaq,0.0,0.0,790.2,2010-12-30,6.7,20.0,700.0,IT
GrubHub Inc,Illinois,GRUB,New York,40.5,0.0,795.7,2012-11-09,7.9,26.0,192.5,IT
Grupo Aval Acciones Y Valores SA,North Carolina,AVAL,New York,0.0,0.0,110.5,2014-09-23,7.5,13.5,1100.0,Finance
Grupo Supervielle SA,Florida,SUPV,New York,17.5,1098.4,1115.8,2016-05-19,9.1,11.0,280.5,Finance
Guaranty Bancshares Inc /Tx/,Texas,GNTY,Nasdaq,9.7,0.0,760.0,2017-05-09,8.5,27.0,54.0,Finance
Guidance Software Inc,California,GUID,Nasdaq,0.0,0.5,26.6,2006-09-15,12.3,11.5,57.5,IT
Guidewire Software Inc.,California,GWRE,New York,0.0,0.0,63.9,2012-01-25,12.5,13.0,115.1,IT
Gw Pharmaceuticals Plc,District of Columbia,GWPH,Nasdaq,21.2,4.0,25.2,2013-05-01,8.6,8.9,31.2,Health
HFF Inc,Pennsylvania,HF,New York,58.2,0.0,209.5,2006-11-09,8.3,18.0,257.4,Finance
Habit Restaurants Inc.,California,HABT,Nasdaq,92.8,89.1,340.6,2014-11-20,5.7,18.0,90.0,Retail
Hailiang Education Group Inc.,Minnesota,HLG,Nasdaq,0.0,0.3,120.4,2015-07-07,9.8,7.0,20.0,Food
Hamilton Lane Inc.,Pennsylvania,HLNE,Nasdaq,0.0,202.5,202.5,2017-03-01,8.8,16.0,190.0,Finance
Hannon Armstrong Sustainable Infrastructure Capital Inc.,Maryland,HASI,New York,0.0,52.4,2064.0,2013-04-18,9.7,12.5,166.7,Finance
Hansen Medical Inc,California,HNSN,Nasdaq,0.0,3.3,21.5,2006-08-16,9.8,12.0,75.0,Health
Hawk Corp,Ohio,HWK,New York,0.0,100.1,180.8,1997-11-19,8.1,17.0,87.3,Machinery
Hca Healthcare Inc.,Tennessee,HCA,New York,325.9,7.1,333.0,2011-03-10,10.9,30.0,3786.0,Health
Hd Supply Holdings Inc.,Georgia,HDS,Nasdaq,0.0,98.8,744.5,2013-06-27,8.3,18.0,957.4,Machinery
Health Insurance Innovations Inc.,Florida,HIIQ,Nasdaq,0.0,41.9,165.1,2013-02-08,10.7,14.0,65.3,Health
HealthEquity Inc,Utah,HQY,Nasdaq,11.8,0.0,55.9,2014-06-10,8.9,14.0,127.4,Finance
HealthSpring Inc,Tennessee,HS,New York,66.9,0.0,591.8,2005-10-11,2.5,19.5,366.6,Health
Heat Biologics Inc.,North Carolina,HTBX,Nasdaq,0.0,878.5,902.0,2013-07-24,15.2,10.0,25.0,Health
Hebron Technology Co Ltd,Maryland,HEBT,Nasdaq,0.0,0.5,79.4,2016-12-27,12.1,4.0,20.0,Machinery
Hercules Offshore Inc,Texas,HERO,Nasdaq,0.0,93.3,266.1,2005-07-08,7.6,20.0,184.0,Oil
Heritage Insurance Holdings Inc.,Florida,HRTG,New York,0.0,28.9,6380.3,2014-05-23,5.8,11.0,66.0,Finance
Heritage-Crystal Clean Inc,Illinois,HCCI,Nasdaq,11.3,0.8,48.0,2007-06-19,18.8,11.5,22.0,Oil
Hertz Global Holdings Inc,New Jersey,HTZ,New York,0.0,9766.2,19465.4,2006-07-14,4.8,15.0,1323.5,Transport
Hess Midstream Partners Lp,Texas,HESM,New York,0.0,600.7,600.7,2017-04-05,7.2,23.0,339.9,Oil
Hexindai Inc.,Texas,HX,Nasdaq,0.0,1342.4,1342.4,2017-11-03,9.3,10.0,50.0,Finance
Hi-Crush Partners LP,Texas,HCLP,New York,33.3,0.9,142.9,2012-07-06,7.0,17.0,191.3,Mining
Hilton Worldwide Holdings Inc.,Virginia,HLT,New York,28.4,55.4,107.9,2013-12-12,1.7,20.0,2352.8,Retail
Hoegh Lng Partners Lp,California,HMLP,New York,0.0,83.5,166.6,2014-08-07,6.2,20.0,192.0,Machinery
Hoku Scientific Inc,Hawaii,HOKU,Nasdaq,0.0,0.0,11.4,2005-04-28,14.1,6.0,21.0,Energy
Holly Energy Partners LP,Texas,HEP,New York,0.0,25.0,154.7,2004-03-15,8.5,22.3,135.7,Oil
"Home BancShares Inc,Conway, Arkansas",Arkansas,HOMB,Nasdaq,0.0,171.0,1961.5,2006-03-14,8.8,18.0,45.0,Finance
Home Diagnostics Inc,Florida,HDIX,Nasdaq,0.0,0.0,87.7,2006-05-01,8.8,12.0,79.2,Health
HomeAway Inc,Texas,AWAY,Nasdaq,31.4,0.0,518.0,2011-02-09,8.4,27.0,216.0,IT
Homestreet Inc.,Washington,HMST,Nasdaq,5.9,60.7,279.9,2012-02-10,16.8,44.0,83.4,Finance
Horizon Therapeutics Public Ltd Co,Missouri,HZNP,Nasdaq,0.0,1.7,28.4,2011-07-28,14.0,9.0,49.5,Health
Hornbeck Offshore Services Inc,Louisiana,HOS,New York,54.2,172.8,365.2,2003-09-19,8.4,13.0,78.0,Transport
Houghton Mifflin Harcourt Co,Massachusetts,HMHC,Nasdaq,86.6,12.6,202.0,2013-11-14,8.6,12.0,219.0,Food
Houlihan Lokey Inc.,California,HLI,New York,0.0,0.0,464.9,2015-08-13,9.9,21.0,220.5,Finance
Houston Wire & Cable Co,Texas,HWCC,Nasdaq,0.0,0.0,87.9,2006-03-24,8.4,13.0,110.5,Energy
Howard Hughes Corp,Texas,HHC,New York,0.0,667.4,667.4,2010-11-10,11.7,36.9,708.8,Finance
Htg Molecular Diagnostics Inc.,Arizona,HTGM,Nasdaq,0.0,0.0,3544.8,2015-05-06,8.5,14.0,50.0,Health
Huazhu Group Ltd,Arizona,HTHT,Nasdaq,3.3,31.2,428.8,2010-03-26,9.0,12.3,110.3,Retail
Hubspot Inc.,Massachusetts,HUBS,New York,17.9,0.0,17.9,2014-10-09,7.3,25.0,125.0,IT
Huron Consulting Group Inc,Illinois,HURN,Nasdaq,0.0,0.0,52.9,2004-05-12,11.2,15.5,77.5,Consulting
Hutchison China Meditech Ltd,Rhode Island,HCM,Nasdaq,0.0,799.8,799.8,2016-03-17,0.3,13.5,101.3,Health
Hydril Co LP,Texas,HYDL,Nasdaq,0.0,61.5,205.1,2000-06-09,8.0,17.0,127.5,Oil
ICF International Inc,Virginia,ICFI,Nasdaq,0.0,13.6,171.8,2006-05-11,10.9,12.0,56.0,Consulting
ICx Technologies Inc,Virginia,ICXT,Nasdaq,0.0,0.2,171.1,2007-08-03,8.6,16.0,80.0,Machinery
IHS Inc,Colorado,IHS,New York,79.3,0.0,743.0,2005-02-04,8.8,16.0,232.2,IT
ING US Inc,New York,VOYA,New York,0.0,3265.7,220850.0,2010-11-15,4.0,19.5,1271.2,Finance
IPC The Hospitalist Co Inc,California,IPCM,Nasdaq,6.4,7.9,94.4,2007-08-31,10.5,16.0,83.2,Health
IPG Photonics Corp,Massachusetts,IPGP,Nasdaq,36.3,30.1,141.4,2006-08-11,8.4,16.5,148.5,Machinery
ITC Holdings Corp,Michigan,ITC,New York,0.0,508.5,868.1,2005-03-29,1.9,23.0,287.5,Energy
Icagen Inc,North Carolina,ICGN,Nasdaq,0.0,0.7,76.3,2004-04-08,13.5,8.0,40.0,Chemical
Ichor Holdings Ltd,California,ICHR,Nasdaq,0.0,0.0,431.4,2016-12-09,8.3,9.0,52.9,IT
Iclick Interactive Asia Group Ltd,Kansas,ICLK,Nasdaq,19.5,42.6,76.1,2017-12-22,13.7,8.0,30.0,Retail
Ideal Power Inc,Texas,IPWR,Nasdaq,0.0,0.0,2.8,2013-08-06,11.9,5.0,15.0,Energy
Idenix Pharmaceuticals Inc,Massachusetts,IDIX,Nasdaq,0.0,0.0,76.8,2003-12-15,9.3,14.0,81.2,Chemical
Ignite Restaurant Group Inc,Texas,IRG,Nasdaq,38.5,74.5,192.4,2011-07-29,8.9,14.0,80.8,Restaurant
Ikanos Communications Inc,California,IKAN,Nasdaq,0.0,1.2,110.9,2004-06-25,10.1,12.0,76.8,IT
ImaRx Therapeutics Inc,Arizona,IMRX,Nasdaq,0.0,0.0,31.6,2007-05-04,15.7,5.0,15.0,Chemical
Immtech International Inc,Illinois,IMM,Nasdaq,0.0,0.0,0.6,1998-09-28,15.4,10.0,10.0,Chemical
Immuron Ltd,Idaho,IMRN,Nasdaq,0.0,1784.8,1784.8,2017-06-09,0.5,10.0,6.1,Health
Impinj Inc.,Washington,PI,Nasdaq,0.0,0.0,17.4,2016-07-21,10.6,14.0,67.2,IT
Implant Sciences Corp,Massachusetts,IMX,American,0.0,0.6,3.0,1998-09-29,3.9,7.5,7.5,Machinery
Independence Contract Drilling Inc.,Texas,ICD,New York,121.4,77.3,655.3,2014-08-08,7.7,11.0,110.0,Oil
Independence Realty Trust Inc.,Pennsylvania,IRT,American,55.0,64.5,2557.2,2013-08-13,8.8,8.5,34.0,Finance
"Independent Bank Group Inc, McKinney,Texas",Texas,IBTX,Nasdaq,29.0,199.2,1764.1,2013-02-27,7.9,26.0,83.2,Finance
Inergy LP,Missouri,NRGY,Nasdaq,0.0,43.7,146.8,2001-03-14,13.4,22.0,35.2,Retail
Inflarx NV,North Carolina,IFRX,Nasdaq,0.0,0.0,3441.3,2017-11-08,10.6,15.0,100.0,Health
Infrareit Inc.,Texas,HIFR,New York,0.0,0.0,103.8,2015-01-30,4.1,23.0,460.0,Media
Innophos Holdings Inc,New Jersey,IPHS,Nasdaq,0.0,398.3,615.3,2006-07-19,9.9,12.0,104.3,Chemical
Innovative Industrial Properties Inc.,California,IIPR,New York,0.0,110.2,13630.9,2016-12-01,19.8,20.0,67.0,Finance
Inogen Inc.,California,INGN,Nasdaq,0.0,1.1,54.5,2014-02-14,9.0,16.0,70.6,Health
Inovalon Holdings Inc.,Maryland,INOV,Nasdaq,0.0,42.6,66.7,2015-02-12,10.1,27.0,600.0,IT
Installed Building Products Inc.,Ohio,IBP,New York,0.0,14.8,29.4,2014-02-13,10.4,11.0,82.0,Chemical
Instructure Inc.,Utah,INST,New York,84.1,0.4,148.7,2015-11-13,13.9,16.0,70.4,IT
Intec Pharma Ltd,New Hampshire,NTEC,Nasdaq,1.7,0.0,2.3,2015-08-04,5.6,6.0,30.2,Health
Intellia Therapeutics Inc.,Massachusetts,NTLA,Nasdaq,0.0,10.9,51.3,2016-05-06,9.1,18.0,108.0,Health
Intelsat SA,Iowa,I,New York,51.8,16.2,1014.0,2013-04-18,9.3,18.0,347.8,Communications
InterCloud Systems Inc,New Jersey,ICLD,Nasdaq,3.8,15.2,58.5,2012-12-05,44.3,4.0,5.0,Consulting
Interactive Brokers Group Inc,Connecticut,IBKR,Nasdaq,0.0,304.7,32248.7,2006-11-27,2.3,30.0,1200.4,Finance
Intercept Pharmaceuticals Inc.,New York,ICPT,Nasdaq,0.0,894.3,898.0,2012-10-11,8.4,15.0,75.0,Health
Intermolecular Inc.,California,IMI,Nasdaq,0.0,0.1,125.2,2011-11-18,12.0,10.0,96.5,IT
Intersect ENT Inc,California,XENT,Nasdaq,0.0,0.0,14.5,2014-06-23,10.8,11.0,55.0,Health
Interxion Holding NV,Indiana,INXN,New York,0.0,25.0,55.3,2011-01-28,8.6,13.0,264.9,IT
Intrexon Corp,Maryland,XON,New York,0.0,2.3,283.5,2013-07-09,7.6,16.0,160.0,Agriculture
Investar Holding Corp,Louisiana,ISTR,Nasdaq,7.6,1677.4,4542.1,2014-07-01,7.1,14.0,40.3,Finance
Investors Capital Holdings Ltd,Massachusetts,ICH,American,0.0,0.0,5.1,2000-08-14,20.0,8.0,8.0,Finance
Invitae Corp,California,NVTA,New York,0.0,2225.9,2230.4,2015-02-12,6.4,16.0,101.6,Health
Invitation Homes Inc.,Texas,INVH,New York,72.3,318.6,390.9,2017-02-01,5.7,20.0,1540.0,Finance
Iradimed Corp,Florida,IRMD,Nasdaq,0.0,332.4,3920.9,2014-07-16,10.6,6.3,12.6,Health
Irhythm Technologies Inc.,California,IRTC,Nasdaq,0.0,23.5,51.9,2016-10-20,6.7,17.0,107.0,Health
Ironwood Pharmaceuticals Inc,Massachusetts,IRWD,Nasdaq,0.0,1.6,162.5,2009-11-20,8.2,11.3,187.5,Chemical
Israel Chemicals Ltd,Virginia,ICL,New York,0.0,572.6,572.6,2014-09-24,16.5,7.0,421.1,Chemical
J Jill Inc,New Hampshire,JILL,New York,96.3,264.2,567.6,2016-04-08,10.3,13.0,151.7,Retail
Jackson Hewitt Tax Service Inc,New Jersey,JTX,New York,72.4,175.0,582.0,2004-03-15,6.3,17.0,637.5,Finance
Jagged Peak Energy Inc.,Colorado,JAG,New York,0.0,454.5,454.5,2017-01-27,9.1,15.0,474.0,Oil
Jaguar Animal Health Inc,California,JAGX,Nasdaq,0.0,0.0,6.2,2014-08-27,23.5,7.0,20.0,Chemical
James River Group Holdings Ltd,South Carolina,JRVR,Nasdaq,0.0,79.0,878.7,2014-12-12,8.7,21.0,231.0,Finance
JdCom Inc.,Oklahoma,JD,Nasdaq,13.1,90.0,480.3,2014-05-22,9.4,19.0,1780.0,Retail
Jeld-Wen Holding Inc.,North Carolina,JELD,New York,0.0,0.0,243.0,2017-01-27,10.2,23.0,575.0,Chemical
Jernigan Capital Inc.,Tennessee,JCAP,New York,27.4,248.4,275.8,2015-03-27,9.5,20.0,100.0,Finance
Jianpu Technology Inc.,Wisconsin,JT,New York,0.0,0.0,234.1,2017-11-16,9.7,8.0,180.0,IT
Jinkosolar Holding Co Ltd,Connecticut,JKS,New York,0.0,0.0,12.2,2010-05-14,13.2,11.0,64.2,IT
Jive Software Inc,California,JIVE,Nasdaq,0.0,10.2,143.9,2010-05-19,8.4,12.0,161.3,IT
Jounce Therapeutics Inc.,Massachusetts,JNCE,Nasdaq,0.0,2018.6,2018.6,2017-01-27,7.4,16.0,101.8,Health
Journal Communications Inc,Wisconsin,JRN,New York,150.0,0.0,742.9,2003-05-14,8.1,15.0,258.8,Media
Jumei International Holding Ltd,Colorado,JMEI,New York,99.1,1540.2,1639.3,2014-05-16,10.8,22.0,245.1,Retail
Jupai Holdings Ltd,Indiana,JP,New York,0.0,0.1,2445.8,2015-07-16,3.0,10.0,53.0,Finance
K12 Inc,Virginia,LRN,NYSE Arca,0.0,8.2,100.2,2007-07-26,9.4,18.0,108.0,Services
KBW Inc,New York,KBW,New York,0.0,0.0,726.1,2006-08-11,8.5,21.0,142.8,Finance
Kadmon Holdings Inc.,New York,KDMN,New York,0.0,0.0,6.2,2016-07-27,10.1,12.0,75.0,Health
Kala Pharmaceuticals Inc.,Massachusetts,KALA,Nasdaq,0.0,23.2,194.9,2017-07-20,10.4,15.0,90.0,Health
Kamada Ltd,District of Columbia,KMDA,Nasdaq,42.7,6.1,181.3,2013-05-31,8.5,9.3,51.6,Health
Karyopharm Therapeutics Inc.,Massachusetts,KPTI,Nasdaq,6.1,0.0,546.6,2013-11-06,7.7,16.0,108.8,Health
Keane Group Inc.,Texas,FRAC,New York,79.1,386.8,1297.8,2017-01-20,9.6,19.0,508.4,Oil
